Year,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Region
2018,Flathead,MT,Passenger,1,0,1,58,59,1.69,West
2022,Fairbanks North Star,AK,Passenger,0,1,1,63,64,1.56,West
2022,Stafford,VA,Passenger,2,1,3,89,92,3.26,South
2021,Goochland,VA,Passenger,3,2,5,189,194,2.58,South
2023,Arapahoe,CO,Passenger,1,1,2,66,68,2.94,West
2018,Ada,ID,Passenger,0,2,2,342,344,0.58,West
2023,Allen,IN,Passenger,1,0,1,15,16,6.25,Midwest
2019,Manatee,FL,Passenger,1,0,1,33,34,2.94,South
2018,Morris,NJ,Passenger,1,0,1,17,18,5.56,Northeast
2019,Osceola,FL,Passenger,1,0,1,43,44,2.27,South
2023,Multnomah,OR,Passenger,1,2,3,410,413,0.73,West
2021,Los Angeles,CA,Passenger,9,11,20,912,932,2.15,West
2022,Alameda,CA,Passenger,5,0,5,184,189,2.65,West
2022,Charleston,SC,Passenger,2,2,4,65,69,5.8,South
2017,Manassas,VA,Passenger,0,1,1,9,10,10.0,South
2018,Frederick,MD,Passenger,0,1,1,87,88,1.14,Northeast
2021,Lake,IN,Passenger,0,1,1,9,10,10.0,Midwest
2020,Fairfax,VA,Passenger,5,3,8,711,719,1.11,South
2019,Shelby,TN,Passenger,0,1,1,98,99,1.01,South
2018,Portsmouth,VA,Passenger,0,1,1,72,73,1.37,South
2023,Kern,CA,Passenger,1,1,2,168,170,1.18,West
2021,Lee,FL,Passenger,1,0,1,40,41,2.44,South
2020,Gwinnett,GA,Passenger,1,0,1,70,71,1.41,South
2021,Nassau,NY,Passenger,4,0,4,31,35,11.43,Northeast
2021,Gwinnett,GA,Passenger,1,0,1,67,68,1.47,South
2020,Lane,OR,Passenger,0,1,1,145,146,0.68,West
2017,Shelby,TN,Passenger,0,1,1,106,107,0.93,South
2021,Maui,HI,Passenger,2,0,2,28,30,6.67,West
2020,Sumter,FL,Passenger,0,1,1,9,10,10.0,South
2019,Nantucket,MA,Passenger,1,0,1,2,3,33.33,Northeast
2018,Juneau,AK,Passenger,0,1,1,44,45,2.22,West
2019,New Haven,CT,Passenger,0,2,2,49,51,3.92,Northeast
2020,Kent,MI,Passenger,0,1,1,25,26,3.85,Midwest
2020,Jones,GA,Passenger,1,0,1,1,2,50.0,South
2017,Mercer,NJ,Passenger,0,1,1,18,19,5.26,Northeast
2023,Santa Barbara,CA,Passenger,1,0,1,58,59,1.69,West
2023,Allen,IN,Passenger,1,0,1,12,13,7.69,Midwest
2017,Multnomah,OR,Passenger,0,3,3,1282,1285,0.23,West
2022,Collin,TX,Passenger,3,0,3,97,100,3.0,South
2022,Nueces,TX,Passenger,1,1,2,53,55,3.64,South
2017,Hamilton,TN,Passenger,1,0,1,21,22,4.55,South
2020,Suffolk,MA,Passenger,0,2,2,35,37,5.41,Northeast
2023,Platte,MO,Passenger,1,0,1,20,21,4.76,Midwest
2018,Volusia,FL,Passenger,0,1,1,39,40,2.5,South
2020,Twin Falls,ID,Passenger,0,1,1,23,24,4.17,West
2021,Philadelphia,PA,Passenger,1,0,1,47,48,2.08,Northeast
2023,Adams,CO,Passenger,1,0,1,28,29,3.45,West
2021,Dallas,IA,Passenger,0,1,1,8,9,11.11,Midwest
2018,Gwinnett,GA,Passenger,0,1,1,83,84,1.19,South
2017,Arlington,VA,Passenger,1,1,2,168,170,1.18,South
2023,Deschutes,OR,Passenger,1,0,1,50,51,1.96,West
2019,Albemarle,VA,Passenger,1,0,1,23,24,4.17,South
2022,Charles,MD,Passenger,0,1,1,62,63,1.59,Northeast
2019,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.0,
2021,Allegheny,PA,Passenger,1,1,2,65,67,2.99,Northeast
2019,Prince George's,MD,Passenger,1,1,2,182,184,1.09,Northeast
2022,Meade,KY,Passenger,1,0,1,17,18,5.56,South
2022,Denton,TX,Passenger,1,0,1,73,74,1.35,South
2021,Hawaii,HI,Passenger,1,0,1,43,44,2.27,West
2023,Hamilton,OH,Truck,1,0,1,2,3,33.33,Midwest
2018,Orange,CA,Passenger,4,1,5,572,577,0.87,West
2018,Hawaii,HI,Passenger,1,0,1,72,73,1.37,West
2022,Rockdale,GA,Passenger,1,0,1,6,7,14.29,South
2022,Orange,CA,Passenger,8,2,10,335,345,2.9,West
2018,Orange,FL,Passenger,2,1,3,170,173,1.73,South
2017,Cascade,MT,Passenger,0,1,1,61,62,1.61,West
2023,Bartow,GA,Passenger,0,1,1,3,4,25.0,South
2021,Champaign,IL,Passenger,1,0,1,12,13,7.69,Midwest
2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33,Midwest
2023,Fairfax,VA,Passenger,7,3,10,565,575,1.74,South
2019,Douglas,NE,Passenger,0,1,1,61,62,1.61,Midwest
2018,Cook,IL,Passenger,1,0,1,287,288,0.35,Midwest
2022,DeKalb,GA,Passenger,1,0,1,48,49,2.04,South
2022,Fairfax,VA,Truck,1,0,1,103,104,0.96,South
2020,Orange,CA,Passenger,4,3,7,469,476,1.47,West
2017,Howard,MD,Passenger,0,2,2,88,90,2.22,Northeast
2017,Volusia,FL,Passenger,0,1,1,47,48,2.08,South
2018,Montgomery,MD,Passenger,1,0,1,287,288,0.35,Northeast
2021,Montgomery,MD,Passenger,3,2,5,212,217,2.3,Northeast
2022,Anne Arundel,MD,Passenger,4,3,7,330,337,2.08,Northeast
2022,Harris,TX,Passenger,1,0,1,132,133,0.75,South
2022,Honolulu,HI,Passenger,3,3,6,325,331,1.81,West
2022,Hennepin,MN,Passenger,3,0,3,63,66,4.55,Midwest
2020,Chesapeake,VA,Passenger,0,1,1,429,430,0.23,South
2017,Montgomery,PA,Passenger,1,0,1,38,39,2.56,Northeast
2022,Manassas,VA,Passenger,0,1,1,8,9,11.11,South
2019,Powhatan,VA,Passenger,1,0,1,0,1,100.0,South
2019,Charleston,SC,Passenger,1,0,1,126,127,0.79,South
2020,Deschutes,OR,Passenger,4,0,4,135,139,2.88,West
2017,Nantucket,MA,Passenger,1,0,1,3,4,25.0,Northeast
2023,Polk,OR,Passenger,0,1,1,16,17,5.88,West
2020,Santa Clara,CA,Passenger,6,2,8,279,287,2.79,West
2017,Palm Beach,FL,Passenger,0,1,1,95,96,1.04,South
2018,Saratoga,NY,Passenger,1,0,1,58,59,1.69,Northeast
2018,Douglas,NE,Passenger,0,1,1,68,69,1.45,Midwest
2020,Contra Costa,CA,Passenger,3,2,5,326,331,1.51,West
2020,Clark,NV,Passenger,4,2,6,683,689,0.87,West
2020,Miami-Dade,FL,Passenger,1,0,1,104,105,0.95,South
2020,Lee,FL,Passenger,1,0,1,47,48,2.08,South
2019,Tulsa,OK,Passenger,1,1,2,48,50,4.0,South
2021,Harrison,MS,Passenger,2,0,2,50,52,3.85,South
2021,Hennepin,MN,Passenger,3,0,3,72,75,4.0,Midwest
2017,Orange,CA,Passenger,2,1,3,717,720,0.42,West
2018,Guadalupe,TX,Passenger,1,0,1,82,83,1.2,South
2017,Hamilton,IN,Passenger,1,0,1,62,63,1.59,Midwest
2020,Sacramento,CA,Passenger,1,0,1,263,264,0.38,West
2022,Duval,FL,Passenger,1,2,3,267,270,1.11,South
2021,Prince William,VA,Passenger,1,1,2,202,204,0.98,South
2020,Fairbanks North Star,AK,Passenger,0,1,1,97,98,1.02,West
2023,Maricopa,AZ,Passenger,7,4,11,597,608,1.81,West
2022,Kern,CA,Passenger,0,1,1,193,194,0.52,West
2017,El Paso,CO,Passenger,2,0,2,792,794,0.25,West
2020,Charleston,SC,Passenger,2,0,2,96,98,2.04,South
2019,Bucks,PA,Passenger,1,0,1,26,27,3.7,Northeast
2022,Carroll,NH,Passenger,0,1,1,5,6,16.67,Northeast
2020,Washoe,NV,Passenger,1,0,1,111,112,0.89,West
2023,Cook,IL,Passenger,3,0,3,157,160,1.88,Midwest
2018,Madison,ID,Passenger,1,0,1,41,42,2.38,West
2019,Mecklenburg,NC,Passenger,1,0,1,83,84,1.19,South
2017,Hamilton,TN,Passenger,1,0,1,22,23,4.35,South
2018,Montgomery,PA,Passenger,2,0,2,35,37,5.41,Northeast
2023,Lake,IN,Passenger,0,1,1,6,7,14.29,Midwest
2020,Twin Falls,ID,Passenger,0,1,1,26,27,3.7,West
2023,Geary,KS,Passenger,1,0,1,65,66,1.52,Midwest
2018,Eagle,CO,Passenger,1,0,1,5,6,16.67,West
2019,Marion,OR,Passenger,1,0,1,118,119,0.84,West
2023,Rockdale,GA,Passenger,1,0,1,5,6,16.67,South
2019,Virginia Beach,VA,Passenger,1,0,1,718,719,0.14,South
2021,Arlington,VA,Passenger,0,1,1,140,141,0.71,South
2017,Tulare,CA,Passenger,1,0,1,194,195,0.51,West
2018,Deschutes,OR,Passenger,2,0,2,165,167,1.2,West
2017,Utah,UT,Passenger,0,1,1,150,151,0.66,West
2018,Washtenaw,MI,Passenger,1,0,1,38,39,2.56,Midwest
2021,San Joaquin,CA,Passenger,1,1,2,101,103,1.94,West
2019,Broward,FL,Passenger,2,1,3,131,134,2.24,South
2021,Flathead,MT,Passenger,1,0,1,51,52,1.92,West
2020,New York,NY,Passenger,1,0,1,57,58,1.72,Northeast
2020,Portsmouth,VA,Passenger,0,1,1,72,73,1.37,South
2021,Santa Cruz,CA,Passenger,1,0,1,27,28,3.57,West
2019,Cascade,MT,Passenger,0,1,1,59,60,1.67,West
2020,Williamson,TX,Passenger,0,2,2,139,141,1.42,South
2019,Sarasota,FL,Passenger,1,0,1,25,26,3.85,South
2019,Santa Cruz,CA,Passenger,1,0,1,40,41,2.44,West
2022,Pulaski,AR,Passenger,1,0,1,26,27,3.7,South
2023,Yellowstone,MT,Passenger,0,1,1,11,12,8.33,West
2020,Ventura,CA,Passenger,1,1,2,279,281,0.71,West
2018,San Mateo,CA,Passenger,2,1,3,131,134,2.24,West
2018,Montgomery,MD,Passenger,1,0,1,283,284,0.35,Northeast
2020,Clark,NV,Passenger,4,2,6,697,703,0.85,West
2023,Stafford,VA,Passenger,3,1,4,79,83,4.82,South
2022,Howard,IN,Passenger,0,1,1,4,5,20.0,Midwest
2021,Pinellas,FL,Passenger,0,1,1,98,99,1.01,South
2019,Wayne,MI,Passenger,0,1,1,66,67,1.49,Midwest
2023,Charlottesville,VA,Passenger,0,1,1,2,3,33.33,South
2022,San Mateo,CA,Passenger,2,0,2,82,84,2.38,West
2019,Juneau,AK,Passenger,0,2,2,27,29,6.9,West
2020,Dallas,TX,Passenger,1,0,1,194,195,0.51,South
2019,Collin,TX,Passenger,2,1,3,136,139,2.16,South
2020,Dallas,TX,Passenger,1,0,1,199,200,0.5,South
2021,Sedgwick,KS,Passenger,1,1,2,84,86,2.33,Midwest
2018,St. Clair,IL,Passenger,0,1,1,167,168,0.6,Midwest
2020,Calvert,MD,Passenger,0,2,2,86,88,2.27,Northeast
2021,Denver,CO,Passenger,1,0,1,116,117,0.85,West
2017,Pima,AZ,Passenger,0,2,2,450,452,0.44,West
2019,Douglas,NE,Passenger,0,1,1,59,60,1.67,Midwest
2022,Placer,CA,Passenger,2,0,2,70,72,2.78,West
2020,Anchorage,AK,Passenger,1,0,1,152,153,0.65,West
2023,DeKalb,GA,Passenger,1,0,1,37,38,2.63,South
2021,Flathead,MT,Passenger,1,0,1,47,48,2.08,West
2021,Charleston,SC,Passenger,2,0,2,90,92,2.17,South
2019,Larimer,CO,Passenger,1,0,1,57,58,1.72,West
2022,Greene,MO,Passenger,0,1,1,29,30,3.33,Midwest
2019,Hillsborough,FL,Passenger,0,1,1,203,204,0.49,South
2017,Alameda,CA,Passenger,6,1,7,402,409,1.71,West
2023,Randolph,NC,Passenger,1,0,1,3,4,25.0,South
2022,San Francisco,CA,Passenger,0,1,1,88,89,1.12,West
2021,Saratoga,NY,Passenger,1,0,1,43,44,2.27,Northeast
2023,Goochland,VA,Passenger,0,1,1,58,59,1.69,South
2021,Prince William,VA,Passenger,1,1,2,200,202,0.99,South
2018,Montgomery,PA,Passenger,2,0,2,34,36,5.56,Northeast
2023,Richmond,GA,Passenger,0,1,1,63,64,1.56,South
2019,Carson City,NV,Passenger,1,0,1,10,11,9.09,West
2017,DeKalb,IN,Passenger,1,0,1,1,2,50.0,Midwest
2017,Alameda,CA,Passenger,3,1,4,391,395,1.01,West
2019,Alameda,CA,Passenger,3,2,5,314,319,1.57,West
2021,Howard,MD,Passenger,0,2,2,57,59,3.39,Northeast
2023,New Haven,CT,Passenger,0,2,2,27,29,6.9,Northeast
2020,Harrison,MS,Passenger,1,0,1,52,53,1.89,South
2020,Larimer,CO,Passenger,1,0,1,52,53,1.89,West
2018,Camden,NJ,Passenger,0,1,1,27,28,3.57,Northeast
2017,Howard,MD,Passenger,0,2,2,94,96,2.08,Northeast
2023,Alameda,CA,Passenger,4,0,4,170,174,2.3,West
2023,Larimer,CO,Passenger,1,0,1,30,31,3.23,West
2020,Arapahoe,CO,Passenger,1,0,1,131,132,0.76,West
2021,Lake,FL,Passenger,1,0,1,22,23,4.35,South
2019,Prince William,VA,Passenger,0,4,4,254,258,1.55,South
2019,Contra Costa,CA,Passenger,2,2,4,355,359,1.11,West
2022,Nassau,NY,Passenger,2,0,2,26,28,7.14,Northeast
2020,Pima,AZ,Passenger,3,1,4,340,344,1.16,West
2020,Collier,FL,Passenger,1,0,1,19,20,5.0,South
2021,Albemarle,VA,Passenger,1,0,1,21,22,4.55,South
2022,Owyhee,ID,Passenger,1,0,1,3,4,25.0,West
2022,Wood,OH,Passenger,0,1,1,6,7,14.29,Midwest
2021,Goochland,VA,Passenger,4,2,6,220,226,2.65,South
2017,Flathead,MT,Passenger,1,0,1,57,58,1.72,West
2020,Kootenai,ID,Passenger,1,0,1,223,224,0.45,West
2019,Middlesex,MA,Passenger,1,1,2,122,124,1.61,Northeast
2022,Houston,GA,Passenger,1,0,1,31,32,3.12,South
2018,Prince William,VA,Passenger,0,4,4,266,270,1.48,South
2021,Champaign,IL,Passenger,1,0,1,12,13,7.69,Midwest
2018,Okaloosa,FL,Passenger,1,0,1,180,181,0.55,South
2019,Arlington,VA,Passenger,0,2,2,156,158,1.27,South
2021,Santa Clara,CA,Passenger,8,2,10,252,262,3.82,West
2022,Williamson,TX,Passenger,1,2,3,83,86,3.49,South
2019,Eagle,CO,Passenger,1,0,1,6,7,14.29,West
2019,Kern,CA,Passenger,0,1,1,224,225,0.44,West
2018,Washoe,NV,Passenger,1,0,1,120,121,0.83,West
2023,Sacramento,CA,Passenger,4,0,4,142,146,2.74,West
2023,Broward,FL,Passenger,1,0,1,63,64,1.56,South
2023,Onslow,NC,Passenger,0,1,1,146,147,0.68,South
2022,Clackamas,OR,Passenger,2,0,2,150,152,1.32,West
2020,Maricopa,AZ,Passenger,5,9,14,1404,1418,0.99,West
2023,Maricopa,AZ,Passenger,8,4,12,657,669,1.79,West
2021,Kern,CA,Passenger,0,1,1,217,218,0.46,West
2020,Kauai,HI,Passenger,1,0,1,15,16,6.25,West
2019,Larimer,CO,Passenger,1,0,1,56,57,1.75,West
2021,Clark,NV,Passenger,5,2,7,653,660,1.06,West
2021,Burlington,NJ,Passenger,0,1,1,129,130,0.77,Northeast
2021,Howard,IN,Passenger,0,1,1,3,4,25.0,Midwest
2021,Nassau,NY,Passenger,2,0,2,32,34,5.88,Northeast
2021,Placer,CA,Passenger,2,0,2,82,84,2.38,West
2017,Juneau,AK,Passenger,0,1,1,43,44,2.27,West
2023,Yavapai,AZ,Passenger,0,1,1,18,19,5.26,West
2018,Monroe,IL,Passenger,1,0,1,5,6,16.67,Midwest
2017,Fairfax,VA,Passenger,3,2,5,861,866,0.58,South
2017,Montgomery,TN,Passenger,1,0,1,283,284,0.35,South
2022,Jefferson,NY,Passenger,1,1,2,198,200,1.0,Northeast
2021,El Paso,TX,Passenger,3,0,3,390,393,0.76,South
2023,Rockingham,NH,Passenger,1,0,1,12,13,7.69,Northeast
2018,Orange,CA,Passenger,6,2,8,555,563,1.42,West
2020,Multnomah,OR,Passenger,4,7,11,732,743,1.48,West
2021,Platte,MO,Passenger,1,0,1,18,19,5.26,Midwest
2017,Santa Fe,NM,Passenger,0,1,1,43,44,2.27,West
2022,Carroll,NH,Passenger,0,1,1,5,6,16.67,Northeast
2023,Multnomah,OR,Passenger,1,1,2,355,357,0.56,West
2017,Lee,AL,Passenger,1,0,1,35,36,2.78,South
2022,Richmond,GA,Passenger,0,1,1,70,71,1.41,South
2022,Washington,MD,Passenger,2,0,2,15,17,11.76,Northeast
2018,Tarrant,TX,Passenger,1,0,1,214,215,0.47,South
2020,Calvert,MD,Passenger,0,2,2,86,88,2.27,Northeast
2021,Orange,FL,Passenger,2,0,2,106,108,1.85,South
2021,Oldham,KY,Passenger,0,1,1,4,5,20.0,South
2017,Eagle,CO,Passenger,1,0,1,11,12,8.33,West
2020,Frederick,MD,Passenger,1,1,2,81,83,2.41,Northeast
2023,Richmond,NY,Passenger,1,0,1,4,5,20.0,Northeast
2020,Clay,FL,Passenger,0,1,1,84,85,1.18,South
2020,DuPage,IL,Passenger,3,0,3,60,63,4.76,Midwest
2020,Goochland,VA,Passenger,2,1,3,262,265,1.13,South
2021,Douglas,CO,Passenger,0,1,1,81,82,1.22,West
2023,Sedgwick,KS,Passenger,1,1,2,65,67,2.99,Midwest
2019,Montgomery,AL,Passenger,0,1,1,46,47,2.13,South
2017,Fairfax,VA,Passenger,3,2,5,832,837,0.6,South
2017,Maui,HI,Passenger,1,0,1,70,71,1.41,West
2020,Montgomery,AL,Passenger,0,1,1,41,42,2.38,South
2018,Manatee,FL,Passenger,1,0,1,38,39,2.56,South
2019,Charleston,SC,Passenger,1,0,1,119,120,0.83,South
2021,Rockingham,NH,Passenger,1,0,1,22,23,4.35,Northeast
2019,Caddo,LA,Passenger,0,1,1,21,22,4.55,South
2019,San Joaquin,CA,Passenger,1,0,1,140,141,0.71,West
2021,Prince George's,MD,Passenger,2,1,3,144,147,2.04,Northeast
2017,Gwinnett,GA,Passenger,0,1,1,95,96,1.04,South
2022,Lake,FL,Passenger,1,0,1,16,17,5.88,South
2017,Prince George's,MD,Passenger,0,1,1,182,183,0.55,Northeast
2019,Placer,CA,Passenger,1,0,1,108,109,0.92,West
2022,Deschutes,OR,Passenger,1,0,1,67,68,1.47,West
2022,Hardin,KY,Passenger,1,0,1,62,63,1.59,South
2018,Howard,MD,Passenger,0,1,1,88,89,1.12,Northeast
2020,Middlesex,MA,Passenger,1,1,2,93,95,2.11,Northeast
2020,El Paso,TX,Passenger,3,0,3,455,458,0.66,South
2022,San Bernardino,CA,Passenger,1,1,2,349,351,0.57,West
2020,Shelby,OH,Passenger,0,1,1,1,2,50.0,Midwest
2020,Kootenai,ID,Passenger,1,0,1,221,222,0.45,West
2018,San Juan,PR,Passenger,0,1,1,4,5,20.0,
2020,Montgomery,AL,Passenger,0,1,1,39,40,2.5,South
2019,Oldham,KY,Passenger,0,1,1,5,6,16.67,South
2020,Harford,MD,Passenger,0,1,1,58,59,1.69,Northeast
2022,Bryan,GA,Passenger,0,1,1,36,37,2.7,South
2022,Dallas,TX,Passenger,1,0,1,97,98,1.02,South
2021,Charles,MD,Passenger,1,1,2,72,74,2.7,Northeast
2020,Rockingham,NH,Passenger,1,0,1,22,23,4.35,Northeast
2021,New Haven,CT,Passenger,0,2,2,32,34,5.88,Northeast
2023,Montgomery,MD,Passenger,4,3,7,182,189,3.7,Northeast
2022,Penobscot,ME,Passenger,0,1,1,9,10,10.0,Northeast
2021,Honolulu,HI,Passenger,5,2,7,428,435,1.61,West
2020,Riverside,CA,Passenger,3,1,4,623,627,0.64,West
2022,Santa Clara,CA,Passenger,11,2,13,208,221,5.88,West
2022,Yavapai,AZ,Passenger,0,1,1,28,29,3.45,West
2019,Suffolk,MA,Passenger,0,1,1,40,41,2.44,Northeast
2021,Suffolk,MA,Passenger,0,2,2,27,29,6.9,Northeast
2021,Sumter,SC,Passenger,0,1,1,34,35,2.86,South
2018,Mercer,NJ,Passenger,0,1,1,20,21,4.76,Northeast
2018,Kent,MI,Passenger,0,1,1,28,29,3.45,Midwest
2017,Hamilton,TN,Passenger,1,0,1,26,27,3.7,South
2018,Dallas,TX,Passenger,0,1,1,191,192,0.52,South
2022,Charleston,SC,Passenger,2,1,3,67,70,4.29,South
2020,DuPage,IL,Passenger,3,0,3,61,64,4.69,Midwest
2022,Virginia Beach,VA,Passenger,3,1,4,479,483,0.83,South
2018,Montgomery,TX,Passenger,2,0,2,63,65,3.08,South
2022,Prince George's,MD,Passenger,2,1,3,140,143,2.1,Northeast
2022,Williams,ND,Passenger,0,1,1,6,7,14.29,Midwest
2023,Richmond,GA,Passenger,0,1,1,56,57,1.75,South
2022,Las Animas,CO,Passenger,1,0,1,1,2,50.0,West
2020,Boone,MO,Passenger,0,1,1,10,11,9.09,Midwest
2023,Madison,IL,Passenger,1,0,1,14,15,6.67,Midwest
2023,Adams,CO,Passenger,1,0,1,32,33,3.03,West
2018,San Diego,CA,Passenger,6,1,7,2581,2588,0.27,West
2017,Montgomery,MD,Passenger,1,0,1,307,308,0.32,Northeast
2020,Norfolk,VA,Passenger,2,2,4,348,352,1.14,South
2021,Stafford,VA,Passenger,2,1,3,97,100,3.0,South
2021,Lane,OR,Passenger,0,1,1,141,142,0.7,West
2022,Monterey,CA,Passenger,1,2,3,130,133,2.26,West
2020,Hudson,NJ,Passenger,1,0,1,41,42,2.38,Northeast
2021,Calvert,MD,Passenger,0,2,2,88,90,2.22,Northeast
2019,Jefferson,NY,Passenger,0,2,2,213,215,0.93,Northeast
2020,Virginia Beach,VA,Passenger,1,0,1,680,681,0.15,South
2021,Douglas,NE,Passenger,1,2,3,50,53,5.66,Midwest
2023,Las Animas,CO,Passenger,1,0,1,0,1,100.0,West
2018,Manassas,VA,Passenger,0,1,1,9,10,10.0,South
2018,Prince George,VA,Passenger,0,1,1,75,76,1.32,South
2023,Riverside,CA,Passenger,7,0,7,390,397,1.76,West
2022,San Luis Obispo,CA,Passenger,1,0,1,60,61,1.64,West
2021,Putnam,TN,Passenger,0,1,1,1,2,50.0,South
2020,Orange,FL,Passenger,1,0,1,117,118,0.85,South
2021,Sacramento,CA,Passenger,2,0,2,242,244,0.82,West
2022,Miami-Dade,FL,Passenger,1,0,1,65,66,1.52,South
2019,Broward,FL,Passenger,2,1,3,129,132,2.27,South
2021,Wichita,TX,Passenger,1,0,1,42,43,2.33,South
2019,Santa Clara,CA,Passenger,7,2,9,357,366,2.46,West
2023,Cook,IL,Passenger,3,1,4,142,146,2.74,Midwest
2020,Washtenaw,MI,Passenger,1,0,1,40,41,2.44,Midwest
2018,Washtenaw,MI,Passenger,1,0,1,39,40,2.5,Midwest
2021,Hamilton,IN,Passenger,2,0,2,34,36,5.56,Midwest
2018,Caddo,LA,Passenger,0,1,1,23,24,4.17,South
2021,Lee,FL,Passenger,1,0,1,33,34,2.94,South
2021,Cook,IL,Passenger,2,0,2,203,205,0.98,Midwest
2022,Alameda,CA,Passenger,5,0,5,212,217,2.3,West
2017,Prince George's,MD,Passenger,0,1,1,187,188,0.53,Northeast
2021,Ulster,NY,Passenger,1,0,1,13,14,7.14,Northeast
2022,Loudoun,VA,Passenger,2,1,3,64,67,4.48,South
2018,St. Clair,IL,Passenger,0,1,1,156,157,0.64,Midwest
2021,Suffolk,MA,Passenger,0,2,2,32,34,5.88,Northeast
2018,Franklin,MA,Passenger,0,1,1,1,2,50.0,Northeast
2021,Harrison,MS,Passenger,2,0,2,50,52,3.85,South
2019,Collin,TX,Passenger,2,1,3,136,139,2.16,South
2018,Kent,MI,Passenger,0,1,1,24,25,4.0,Midwest
2021,Lane,OR,Passenger,0,1,1,135,136,0.74,West
2021,Arlington,VA,Passenger,0,1,1,140,141,0.71,South
2018,St. Lucie,FL,Passenger,1,0,1,30,31,3.23,South
2022,Louisa,VA,Passenger,0,1,1,1,2,50.0,South
2022,Wilson,TX,Passenger,0,1,1,2,3,33.33,South
2017,Brevard,FL,Passenger,0,1,1,103,104,0.96,South
2020,Shelby,TN,Passenger,0,1,1,89,90,1.11,South
2019,Williamson,TX,Passenger,0,2,2,146,148,1.35,South
2023,Williamson,TX,Passenger,0,1,1,55,56,1.79,South
2020,Washoe,NV,Passenger,1,0,1,107,108,0.93,West
2021,Saginaw,MI,Passenger,1,0,1,10,11,9.09,Midwest
2023,Richmond,NY,Passenger,1,0,1,3,4,25.0,Northeast
2022,Las Animas,CO,Passenger,1,0,1,1,2,50.0,West
2017,Los Angeles,CA,Passenger,5,2,7,1224,1231,0.57,West
2018,Mercer,NJ,Passenger,0,1,1,21,22,4.55,Northeast
2020,Washtenaw,MI,Passenger,1,0,1,33,34,2.94,Midwest
2021,Richmond,NY,Passenger,1,0,1,7,8,12.5,Northeast
2018,Monroe,IL,Passenger,1,0,1,5,6,16.67,Midwest
2019,Nueces,TX,Passenger,1,1,2,84,86,2.33,South
2018,Juneau,AK,Passenger,0,1,1,45,46,2.17,West
2020,Sarasota,FL,Passenger,2,0,2,27,29,6.9,South
2020,Carson City,NV,Passenger,1,0,1,11,12,8.33,West
2021,Richmond,NY,Passenger,1,0,1,7,8,12.5,Northeast
2022,Placer,CA,Passenger,2,0,2,66,68,2.94,West
2022,Loudoun,VA,Passenger,2,1,3,62,65,4.62,South
2018,St. Mary's,MD,Passenger,1,0,1,220,221,0.45,Northeast
2019,Kern,CA,Passenger,0,1,1,224,225,0.44,West
2017,Cascade,MT,Passenger,0,1,1,61,62,1.61,West
2019,Moore,NC,Passenger,0,1,1,184,185,0.54,South
2018,Washoe,NV,Passenger,1,0,1,112,113,0.88,West
2021,St. Clair,IL,Passenger,1,0,1,136,137,0.73,Midwest
2017,Honolulu,HI,Passenger,2,2,4,566,570,0.7,West
2017,Wayne,MI,Passenger,0,1,1,72,73,1.37,Midwest
2017,Dale,AL,Passenger,0,1,1,63,64,1.56,South
2021,DuPage,IL,Passenger,1,1,2,52,54,3.7,Midwest
2022,Boulder,CO,Passenger,2,0,2,40,42,4.76,West
2023,Bartow,GA,Passenger,0,1,1,3,4,25.0,South
2022,Owyhee,ID,Passenger,1,0,1,3,4,25.0,West
2019,El Paso,CO,Passenger,3,3,6,761,767,0.78,West
2018,Santa Clara,CA,Passenger,8,1,9,378,387,2.33,West
2019,Houston,GA,Passenger,1,0,1,55,56,1.79,South
2020,Boulder,CO,Passenger,1,1,2,50,52,3.85,West
2018,Twin Falls,ID,Passenger,0,1,1,23,24,4.17,West
2020,Clackamas,OR,Passenger,3,0,3,179,182,1.65,West
2017,Riverside,CA,Passenger,1,1,2,784,786,0.25,West
2019,Guadalupe,TX,Passenger,1,0,1,69,70,1.43,South
2022,Montgomery,MD,Passenger,4,2,6,202,208,2.88,Northeast
2019,Marion,OR,Passenger,1,0,1,120,121,0.83,West
2021,Sarasota,FL,Passenger,2,0,2,34,36,5.56,South
2020,El Paso,TX,Passenger,3,0,3,407,410,0.73,South
2020,San Joaquin,CA,Passenger,1,0,1,135,136,0.74,West
2018,Twin Falls,ID,Passenger,0,1,1,23,24,4.17,West
2020,New London,CT,Passenger,1,2,3,239,242,1.24,Northeast
2019,Deschutes,OR,Passenger,3,0,3,155,158,1.9,West
2017,Franklin,MA,Passenger,0,1,1,5,6,16.67,Northeast
2023,Hawaii,HI,Passenger,1,0,1,27,28,3.57,West
2017,Tarrant,TX,Passenger,1,0,1,256,257,0.39,South
2020,Washtenaw,MI,Passenger,1,0,1,37,38,2.63,Midwest
2020,Collin,TX,Passenger,2,1,3,123,126,2.38,South
2017,Gwinnett,GA,Passenger,0,1,1,85,86,1.16,South
2019,Fresno,CA,Passenger,1,0,1,196,197,0.51,West
